نماد	p/e	بازار	گروه
زپارس	18.41	1	01
زگلدشت	10	2	01
تليسه	25.14	2	01
زشريف	26.41	2	01
زبينا	17.99	2	01
زكشت	33.38	2	01
زفكا	9.08	2	01
زدشت	15.82	2	01
زشگزا	17.17	2	01
زماهان	19.64	2	01
آبين	162.35	4	01
زقيام	10.82	2	01
زمگسا	16.67	1	01
كپرور	14.83	2	10
كطبس	12.92	1	10
كشرق	54.86	2	10
حفاري	13.15	1	11
تاصيكو	9.33	1	13
كبافق	239.04	1	13
كروي	11.35	1	13
كنور	7.95	1	13
كاما	6.42	1	13
كگل	6.31	1	13
كچاد	5.2	1	13
كمنگنز	9.05	1	13
كدما	56.26	1	13
ومعادن	9.09	1	13
تكنار	-38.2	4	13
كماسه	49.45	1	14
نتوس	-653.56	4	17
نشار	1.09	4	17
نبروج	3.3	1	17
نمرينو	144.85	1	17
نطرين	14.41	2	17
وملي	3866.33	1	19
چنوپا	0.09	4	20
چفيبر	-253.42	1	20
چكارن	74.96	1	21
چكاوه	-74.63	1	21
چكاپا	12.04	2	21
چافست	21.69	1	22
شنفت	9.15	1	23
شسپا	5.15	1	23
شراز	5.34	2	23
شاوان	7.5	2	23
شتران	4.55	1	23
ونفت	8.86	1	23
شرانل	7.73	2	23
شبهرن	6.91	1	23
شبريز	5.25	1	23
شبندر	4.54	1	23
شزنگ	-94.16	4	23
شپاس	8.06	2	23
شپنا	3.8	1	23
پتاير	7.14	1	25
پلوله	-0.78	4	25
پلاست	-4.43	4	25
پكوير	79.96	1	25
پسهند	10.61	1	25
پلاسك	-18.88	1	25
پشاهن	13.45	4	25
پكرمان	21.06	1	25
پارتا	27.72	4	25
پدرخش	12.32	1	25
پاسا	9.1	1	25
فرآور	14.06	1	27
فسديد	-2.11	4	27
فسپا	7.14	1	27
فروس	16.41	1	27
ذوب	11.47	2	27
فسرب	17.85	1	27
فنوال	12.81	1	27
فنورد	20.83	1	27
كيميا	7.36	2	27
ارفع	6.32	2	27
فنفت	31.15	4	27
