نماد	p/e	بازار	گروه
زكشت	38.18	2	01
زپارس	19	1	01
زفكا	10.02	2	01
تليسه	28.71	2	01
زدشت	17.22	2	01
زشگزا	18.75	2	01
زگلدشت	10.34	2	01
زشريف	28.85	2	01
زقيام	11.98	2	01
آبين	176.49	4	01
زبينا	19.61	2	01
زمگسا	17.42	1	01
زماهان	21.55	2	01
كطبس	13.69	1	10
كپرور	17.03	2	10
كشرق	62.76	2	10
حفاري	14.82	1	11
كگل	6.3	1	13
تكنار	-37.98	4	13
تاصيكو	9.86	1	13
كدما	58.55	1	13
كچاد	5.12	1	13
كاما	6.67	1	13
كمنگنز	9.81	1	13
كبافق	261.22	1	13
كروي	11.87	1	13
ومعادن	9.06	1	13
كنور	8.86	1	13
كماسه	52.03	1	14
نطرين	15.15	2	17
نمرينو	144.56	1	17
نبروج	3.3	1	17
نتوس	-623.15	4	17
نشار	1.09	4	17
وملي	4107.33	1	19
چنوپا	0.09	4	20
چفيبر	-277.42	1	20
چكاوه	-82.27	1	21
چكاپا	13.66	2	21
چكارن	79.92	1	21
چافست	24.5	1	22
ونفت	9.99	1	23
شپنا	3.8	1	23
شپاس	9.01	2	23
شبندر	4.45	1	23
شاوان	7.23	2	23
شرانل	7.58	2	23
شزنگ	-101.24	4	23
شبهرن	6.74	1	23
شسپا	5.13	1	23
شبريز	5.21	1	23
شراز	5.48	2	23
شنفت	8.9	1	23
شتران	4.67	1	23
پارتا	27.14	4	25
پلاست	-4.66	4	25
پشاهن	13.85	4	25
پسهند	12.18	1	25
پلاسك	-21.46	1	25
پكرمان	21.67	1	25
پكوير	88.23	1	25
پاسا	9.64	1	25
پلوله	-0.75	4	25
پتاير	7.63	1	25
ماديرا	9.31	2	26
فايرا	5.13	1	27
فسپا	7.01	1	27
ذوب	12.43	2	27
فملي	4.9	1	27
فروس	17.12	1	27
فماك	-294.29	2	27
فسرب	19.81	1	27
فرآور	14.3	1	27
ميدكو	20.33	2	27
زنگان	84.67	2	27
كاوه	6.53	1	27
فنفت	34.02	4	27
ارفع	6.42	2	27
فباهنر	8.42	1	27
فوكا	-12.23	4	27
فافزا	26.54	4	27
كيميا	7.88	2	27
فخاس	22.09	1	27
فسازان	16.7	1	27
وتوكا	16.6	1	27
فولاد	3.68	1	27
فولاژ	5.95	1	27
فنوال	14.56	1	27
هرمز	7.08	2	27
فجر	5.31	1	27
فپنتا	30.07	1	27
وسديد	-31.74	4	27
فاهواز	-27.23	4	27
فالوم	-93.82	4	27
فسديد	-2.08	4	27
فولاي	12.17	2	27
فنورد	21.97	1	27
فزرين	14.41	2	27
كوير	6.52	1	27
فخوز	4.38	1	27
فلامي	10.95	1	28
فبستم	31.59	4	28
فجوش	-0.42	4	28
فنرژي	-1.45	4	28
چدن	6.54	1	28
فاراك	23.52	1	28
فاذر	45.2	1	28
فبيرا	11.43	4	28
فاما	8.65	1	28
فجام	17.32	1	28
تپمپي	15.61	1	29
لخزر	13.32	1	29
تكشا	21.37	1	29
تكنو	219.25	1	29
لازما	-59.57	4	29
لبوتان	24.07	1	29
وتوشه	8.81	1	29
لسرما	21.18	1	29
تايرا	8.54	1	29
تكمبا	54.43	1	29
لابسا	16	1	29
تمحركه	107.63	1	29
تفيرو	-15.95	4	29
لخانه	33.92	4	29
بنيرو	14.27	1	31
بتك	216.73	4	31
بشهاب	12.39	1	31
نيرو	12.4	4	31
بالبر	56.68	1	31
بسويچ	17.15	1	31
بكام	77.38	1	31
بايكا	-13.49	4	31
بكاب	78.98	1	31
بموتو	7.63	1	31
بترانس	16.19	1	31
لكما	-30.28	4	32
لپيام	49.33	4	32
لپارس	31.37	1	32
ختور	17.87	1	34
خپارس	-1.32	1	34
خكمك	1614	1	34
خرينگ	168.9	1	34
خاذين	-17.37	1	34
خزاميا	-12.92	1	34
خموتور	33.1	1	34
خچرخش	118	1	34
خاهن	40.91	1	34
خمحور	65.14	1	34
خزر	33.01	1	34
ورنا	15.24	1	34
خوساز	202.67	1	34
خكار	23.82	1	34
خريخت	-33.76	1	34
خاور	-0.58	4	34
خلنت	18.29	1	34
خمحركه	37.82	1	34
ختوقا	110.11	1	34
خمهر	-7.53	1	34
ختراك	14.72	1	34
خديزل	7.03	2	34
خشرق	506.38	1	34
خفنر	36.78	1	34
خپويش	10.5	1	34
خساپا	-1.14	1	34
خنصير	38.17	1	34
خبهمن	6.64	1	34
خكاوه	-0.92	4	34
خگستر	276.22	1	34
خودرو	-0.97	1	34
تشتاد	-85.73	4	34
خليبل	-0.89	4	34
خفناور	-118.41	4	34
قنقش	33.69	4	38
قپيرا	20.69	1	38
قلرست	26.52	1	38
قاروم	3.23	4	38
قشكر	295.73	1	38
قشرين	121.43	4	38
قنيشا	18.72	1	38
قشير	32.25	2	38
قصفها	16.02	1	38
قثابت	305.81	1	38
قچار	18.56	2	38
قهكمت	11.03	1	38
قمرو	15.11	1	38
قزوين	12.02	1	38
قشهد	15.97	1	38
واميد	7.75	1	39
وصندوق	4.96	1	39
وغدير	8.69	1	39
وبانك	5.21	1	39
